Up-votes Down-votes Comments Time
0.000 0.000 0.000 0.333
28.889 9.778 142.222 0.667
28.889 9.778 142.222 1.000
25.313 5.354 35.556 1.333
40.409 17.091 30.000 1.667
28.500 4.000 19.091 2.000
33.250 5.000 75.909 2.333
31.295 15.182 15.000 2.667
37.955 20.818 50.000 3.000
25.500 11.000 30.000 3.333
26.500 3.000 0.000 3.667
35.000 8.000 20.000 4.000
21.000 7.000 0.000 4.333
114.000 39.000 120.000 4.667
471.750 172.500 525.000 5.000
538.750 147.300 171.000 5.333
472.800 100.000 324.000 5.667
722.400 175.600 128.000 6.000
676.000 150.000 292.000 6.333
614.600 123.600 404.000 6.667
676.800 100.400 344.000 7.000
617.800 104.000 168.000 7.333
560.800 104.800 224.000 7.667
536.200 92.000 120.000 8.000
590.100 86.800 120.000 8.333
475.500 64.000 210.000 8.667
483.889 88.889 174.444 9.000
454.511 82.711 231.556 9.333
504.600 94.800 128.000 9.667
499.800 87.600 260.000 10.000
501.200 80.222 198.222 10.333
435.200 77.378 101.778 10.667
393.709 63.309 119.636 11.000
362.758 55.980 131.919 11.333
404.333 53.333 135.556 11.667
316.200 65.778 52.889 12.000
382.200 65.200 80.000 12.333
287.822 46.800 91.556 12.667
291.278 59.000 104.444 13.000
251.500 52.667 86.667 13.333
280.000 57.333 63.333 13.667
263.455 73.727 128.182 14.000
251.045 54.273 31.818 14.333
214.000 35.000 40.000 14.667
197.000 32.000 50.000 15.000
239.000 51.000 130.000 15.333
174.500 42.000 90.000 15.667
199.500 27.000 110.000 16.000
179.722 41.333 47.778 16.333
174.278 59.667 82.222 16.667
254.500 53.000 70.000 17.000
245.556 42.000 70.000 17.333
241.944 28.000 0.000 17.667
195.500 34.000 60.000 18.000
268.500 41.000 110.000 18.333
247.500 49.000 90.000 18.667
216.500 44.000 180.000 19.000
205.000 43.000 130.000 19.333
202.000 44.000 90.000 19.667
221.000 46.000 50.000 20.000
191.500 40.000 70.000 20.333
210.500 44.000 110.000 20.667
193.611 34.111 43.333 21.000
180.111 32.000 86.667 21.333
150.778 32.889 10.000 21.667
172.500 39.000 30.000 22.000
99.500 34.000 30.000 22.333
130.500 31.000 70.000 22.667
109.000 29.000 50.000 23.000
85.000 19.000 60.000 23.333
252.500 42.000 70.000 23.667
91.000 15.000 -30.000 24.000
90.500 22.000 10.000 24.333
73.000 18.000 -10.000 24.667
64.000 16.000 10.000 25.000
54.045 11.545 10.909 25.333
59.121 7.677 9.091 25.667
70.333 13.778 0.000 26.000
45.500 11.000 0.000 26.333
49.000 18.000 0.000 26.667
43.000 10.000 40.000 27.000
58.500 7.143 0.000 27.333
60.889 6.746 -20.000 27.667
43.911 3.111 0.000 28.000
33.200 4.800 0.000 28.333
44.000 13.600 24.000 28.667
27.600 10.000 16.000 29.000
20.000 6.800 0.000 29.333
20.800 2.800 0.000 29.667
17.236 3.091 0.000 30.000
22.273 3.091 20.000 30.333
13.491 3.018 -20.000 30.667
25.100 1.800 0.000 31.000
15.833 3.000 0.000 31.333
15.267 1.200 0.000 31.667
13.900 0.800 0.000 32.000
15.500 1.000 10.000 32.333
22.500 2.000 40.000 32.667
17.786 7.857 10.000 33.000
10.314 6.743 0.000 33.333
16.000 6.000 0.000 33.667
