Up-votes VnC Time
0.000 0.000 0.333
34.444 0.000 0.667
30.756 0.000 1.000
22.000 0.000 1.333
17.200 0.000 1.667
18.782 0.000 2.000
14.418 0.000 2.333
18.000 0.000 2.667
11.400 0.000 3.000
13.800 0.000 3.333
11.800 0.000 3.667
13.582 0.000 4.000
15.018 0.000 4.333
194.800 293.877 4.667
479.111 389.851 5.000
528.707 454.910 5.333
491.182 491.004 5.667
466.000 504.744 6.000
506.000 502.939 6.333
471.400 491.078 6.667
434.933 473.149 7.000
442.067 451.889 7.333
367.200 429.115 7.667
374.000 405.996 8.000
449.067 383.264 8.333
364.667 361.356 8.667
301.667 340.517 9.000
279.818 320.867 9.333
288.071 302.446 9.667
275.611 285.242 10.000
296.000 269.216 10.333
264.833 254.308 10.667
311.667 240.451 11.000
250.929 227.574 11.333
207.294 215.606 11.667
218.778 204.479 12.000
243.000 194.127 12.333
224.500 184.488 12.667
198.500 175.506 13.000
218.500 167.128 13.333
185.000 159.306 13.667
214.000 151.995 14.000
163.500 145.154 14.333
161.500 138.747 14.667
155.000 132.739 15.000
158.500 127.100 15.333
143.000 121.801 15.667
146.500 116.817 16.000
157.500 112.124 16.333
110.500 107.701 16.667
95.500 103.529 17.000
108.500 99.588 17.333
89.591 95.863 17.667
92.409 92.339 18.000
80.000 89.002 18.333
63.000 85.839 18.667
57.000 82.839 19.000
50.000 79.991 19.333
35.500 77.285 19.667
54.000 74.711 20.000
54.000 72.262 20.333
62.182 69.930 20.667
43.707 67.708 21.000
39.111 65.588 21.333
48.000 63.565 21.667
38.111 61.633 22.000
40.389 59.787 22.333
41.500 58.022 22.667
40.500 56.332 23.000
41.000 54.715 23.333
30.500 53.166 23.667
32.500 51.681 24.000
31.500 50.256 24.333
32.000 48.889 24.667
23.500 47.577 25.000
25.000 46.317 25.333
30.000 45.105 25.667
25.500 43.940 26.000
30.222 42.819 26.333
31.596 41.740 26.667
29.848 40.701 27.000
32.556 39.700 27.333
25.778 38.736 27.667
30.182 37.805 28.000
24.418 36.908 28.333
27.218 36.042 28.667
19.273 35.206 29.000
19.636 34.399 29.333
15.273 33.619 29.667
13.000 32.864 30.000
20.500 32.135 30.333
10.500 31.430 30.667
7.529 30.748 31.000
4.471 30.087 31.333
7.200 29.447 31.667
10.022 28.828 32.000
8.778 28.227 32.333
10.364 27.645 32.667
8.136 27.081 33.000
13.955 26.534 33.333
12.101 26.003 33.667
